Date,AK confirmed,AK deaths
2020-05-30,4,0
2020-05-31,26,0
2020-06-01,7,0
2020-06-02,20,0
2020-06-03,18,0
2020-06-04,8,0
2020-06-05,11,0
2020-06-06,12,0
2020-06-07,8,0
2020-06-08,19,0
2020-06-09,10,1
2020-06-10,20,0
2020-06-11,17,0
2020-06-12,15,1
2020-06-13,27,0
2020-06-14,9,0
2020-06-15,3,0
2020-06-16,12,0
2020-06-17,20,0
2020-06-18,12,0
2020-06-19,13,0
2020-06-20,21,0
2020-06-21,11,0
2020-06-22,6,0
2020-06-23,0,0
2020-06-24,0,0
2020-06-25,25,0
2020-06-26,51,0
2020-06-27,0,0
2020-06-28,41,0
2020-06-29,24,0
2020-06-30,32,0
2020-07-01,35,2
2020-07-02,35,0
2020-07-03,42,0
2020-07-04,44,0
2020-07-05,27,0
2020-07-06,51,0
2020-07-07,18,0
2020-07-08,42,0
2020-07-09,43,0
2020-07-10,50,0
2020-07-11,59,0
2020-07-12,96,3
2020-07-13,65,0
2020-07-14,46,0
2020-07-15,43,0
2020-07-16,52,0
2020-07-17,42,0
2020-07-18,127,1
2020-07-19,97,0
2020-07-20,3,0
2020-07-21,92,0
2020-07-22,91,1
2020-07-23,62,0
2020-07-24,55,0
2020-07-25,90,1
2020-07-26,186,0
2020-07-27,98,1
2020-07-28,107,1
2020-07-29,68,0
2020-07-30,81,1
2020-07-31,0,0
2020-08-01,258,1
2020-08-02,144,0
2020-08-03,61,1
2020-08-04,53,0
2020-08-05,54,0
2020-08-06,35,0
2020-08-07,53,0
2020-08-08,77,1
2020-08-09,98,0
2020-08-10,63,0
2020-08-11,46,0
2020-08-12,60,0
2020-08-13,82,1
2020-08-14,110,0
2020-08-15,83,1
2020-08-16,103,0
2020-08-17,50,0
2020-08-18,62,1
2020-08-19,67,0
2020-08-20,82,0
2020-08-21,68,1
2020-08-22,89,1
2020-08-23,64,1
2020-08-24,69,0
2020-08-25,33,4
2020-08-26,52,1
2020-08-27,80,0
2020-08-28,117,0
2020-08-29,90,0
2020-08-30,44,0
2020-08-31,37,0
2020-09-01,35,2
2020-09-02,66,0
2020-09-03,102,1
2020-09-04,120,0
2020-09-05,93,2
2020-09-06,86,0
2020-09-07,33,0
2020-09-08,35,0
2020-09-09,63,0
2020-09-10,124,0
2020-09-11,93,1
2020-09-12,103,1
2020-09-13,62,0
2020-09-14,75,0
2020-09-15,42,0
2020-09-16,49,0
2020-09-17,105,0
2020-09-18,109,1
2020-09-19,85,0
2020-09-20,93,0
2020-09-21,70,0
2020-09-22,44,0
2020-09-23,54,0
2020-09-24,128,1
2020-09-25,122,6
2020-09-26,113,0
2020-09-27,114,4
2020-09-28,116,0
2020-09-29,124,0
2020-09-30,103,0
2020-10-01,124,1
2020-10-02,126,0
2020-10-03,143,1
2020-10-04,188,0
2020-10-05,208,0
2020-10-06,139,0
2020-10-07,126,1
2020-10-08,127,1
2020-10-09,177,0
2020-10-10,249,0
2020-10-11,255,0
2020-10-12,191,0
2020-10-13,151,0
2020-10-14,143,4
2020-10-15,152,1
2020-10-16,226,1
2020-10-17,211,1
2020-10-18,220,0
2020-10-19,202,0
2020-10-20,211,0
2020-10-21,212,1
2020-10-22,232,0
2020-10-23,281,0
2020-10-24,371,0
2020-10-25,523,0
2020-10-26,346,0
2020-10-27,381,2
2020-10-28,355,1
2020-10-29,360,6
2020-10-30,381,4
2020-10-31,438,1
2020-11-01,348,1
2020-11-02,350,1
2020-11-03,389,0
2020-11-04,404,0
2020-11-05,308,0
2020-11-06,525,0
2020-11-07,601,0
2020-11-08,518,0
2020-11-09,471,0
2020-11-10,525,8
2020-11-11,495,3
2020-11-12,481,0
2020-11-13,587,1
2020-11-14,739,1
2020-11-15,646,0
2020-11-16,580,0
2020-11-17,0,0
2020-11-18,0,0
2020-11-19,1952,0
2020-11-20,0,0
2020-11-21,0,0
2020-11-22,742,0
2020-11-23,0,0
2020-11-24,0,0
2020-11-25,0,0
2020-11-26,0,0
2020-11-27,0,0
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,8839,0
2020-12-06,756,39
2020-12-07,474,3
2020-12-08,557,0
2020-12-09,581,3
2020-12-10,620,5
2020-12-11,620,4
2020-12-12,515,18
2020-12-13,633,0
2020-12-14,420,0
2020-12-15,275,3
2020-12-16,597,2
2020-12-17,379,2
2020-12-18,485,0
2020-12-19,325,0
2020-12-20,181,0
2020-12-21,149,0
2020-12-22,438,10
2020-12-23,357,3
2020-12-24,266,2
2020-12-25,0,0
2020-12-26,355,1
2020-12-27,287,0
2020-12-28,121,0
2020-12-29,180,1
2020-12-30,379,2
2020-12-31,490,3
2021-01-01,0,0
2021-01-02,797,9
2021-01-03,289,0
2021-01-04,259,2
2021-01-05,180,0
2021-01-06,334,2
2021-01-07,322,3
2021-01-08,394,0
2021-01-09,303,1
2021-01-10,246,0
2021-01-11,173,0
2021-01-12,0,0
2021-01-13,404,2
2021-01-14,326,2
2021-01-15,292,1
2021-01-16,180,0
2021-01-17,276,0
2021-01-18,147,0
2021-01-19,130,1
2021-01-20,152,22
2021-01-21,202,1
2021-01-22,256,0
2021-01-23,241,5
2021-01-24,161,0
2021-01-25,78,0
2021-01-26,463,1
2021-01-27,168,1
2021-01-28,201,1
2021-01-29,183,0
2021-01-30,131,0
2021-01-31,128,0
2021-02-01,68,0
2021-02-02,108,16
2021-02-03,181,0
2021-02-04,158,0
2021-02-05,161,0
2021-02-06,3,0
2021-02-07,0,0
2021-02-08,400,0
2021-02-09,116,0
2021-02-10,180,0
2021-02-11,140,0
2021-02-12,145,2
2021-02-13,1,0
2021-02-14,1,0
2021-02-15,0,0
2021-02-16,447,5
2021-02-17,55,1
2021-02-18,208,2
2021-02-19,184,0
2021-02-20,2,0
2021-02-21,0,0
2021-02-22,299,1
2021-02-23,53,0
2021-02-24,172,0
2021-02-25,137,0
2021-02-26,100,0
2021-02-27,0,0
2021-02-28,0,0
2021-03-01,343,10
2021-03-02,119,1
2021-03-03,173,0
2021-03-04,135,0
2021-03-05,136,1
2021-03-06,0,0
2021-03-07,0,0
2021-03-08,327,0
2021-03-09,87,0
2021-03-10,143,0
2021-03-11,225,0
2021-03-12,105,1
2021-03-13,0,0
2021-03-14,0,0
2021-03-15,364,0
2021-03-16,100,0
2021-03-17,167,1
2021-03-18,149,3
2021-03-19,74,0
2021-03-20,0,0
2021-03-21,0,0
2021-03-22,340,0
2021-03-23,172,2
2021-03-24,197,0
2021-03-25,145,1
2021-03-26,179,0
2021-03-27,0,0
2021-03-28,0,0
2021-03-29,0,0
2021-03-30,621,0
2021-03-31,0,0
2021-04-01,380,0
2021-04-02,195,0
2021-04-03,0,0
